author,author_link
Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein
J.K. Rowling,https://quotes.toscrape.com/author/J-K-Rowling
Jane Austen,https://quotes.toscrape.com/author/Jane-Austen
Marilyn Monroe,https://quotes.toscrape.com/author/Marilyn-Monroe
André Gide,https://quotes.toscrape.com/author/Andre-Gide
Thomas A. Edison,https://quotes.toscrape.com/author/Thomas-A-Edison
Eleanor Roosevelt,https://quotes.toscrape.com/author/Eleanor-Roosevelt
Steve Martin,https://quotes.toscrape.com/author/Steve-Martin
Bob Marley,https://quotes.toscrape.com/author/Bob-Marley
Dr. Seuss,https://quotes.toscrape.com/author/Dr-Seuss
Douglas Adams,https://quotes.toscrape.com/author/Douglas-Adams
Elie Wiesel,https://quotes.toscrape.com/author/Elie-Wiesel
Friedrich Nietzsche,https://quotes.toscrape.com/author/Friedrich-Nietzsche
Mark Twain,https://quotes.toscrape.com/author/Mark-Twain
Allen Saunders,https://quotes.toscrape.com/author/Allen-Saunders
Pablo Neruda,https://quotes.toscrape.com/author/Pablo-Neruda
Ralph Waldo Emerson,https://quotes.toscrape.com/author/Ralph-Waldo-Emerson
Mother Teresa,https://quotes.toscrape.com/author/Mother-Teresa
Garrison Keillor,https://quotes.toscrape.com/author/Garrison-Keillor
Jim Henson,https://quotes.toscrape.com/author/Jim-Henson
Charles M. Schulz,https://quotes.toscrape.com/author/Charles-M-Schulz
William Nicholson,https://quotes.toscrape.com/author/William-Nicholson
Jorge Luis Borges,https://quotes.toscrape.com/author/Jorge-Luis-Borges
George Eliot,https://quotes.toscrape.com/author/George-Eliot
George R.R. Martin,https://quotes.toscrape.com/author/George-R-R-Martin
C.S. Lewis,https://quotes.toscrape.com/author/C-S-Lewis
Martin Luther King Jr.,https://quotes.toscrape.com/author/Martin-Luther-King-Jr
James Baldwin,https://quotes.toscrape.com/author/James-Baldwin
Haruki Murakami,https://quotes.toscrape.com/author/Haruki-Murakami
Alexandre Dumas fils,https://quotes.toscrape.com/author/Alexandre-Dumas-fils
Stephenie Meyer,https://quotes.toscrape.com/author/Stephenie-Meyer
Ernest Hemingway,https://quotes.toscrape.com/author/Ernest-Hemingway
Helen Keller,https://quotes.toscrape.com/author/Helen-Keller
George Bernard Shaw,https://quotes.toscrape.com/author/George-Bernard-Shaw
Charles Bukowski,https://quotes.toscrape.com/author/Charles-Bukowski
Suzanne Collins,https://quotes.toscrape.com/author/Suzanne-Collins
J.R.R. Tolkien,https://quotes.toscrape.com/author/J-R-R-Tolkien
Alfred Tennyson,https://quotes.toscrape.com/author/Alfred-Tennyson
Terry Pratchett,https://quotes.toscrape.com/author/Terry-Pratchett
J.D. Salinger,https://quotes.toscrape.com/author/J-D-Salinger
George Carlin,https://quotes.toscrape.com/author/George-Carlin
John Lennon,https://quotes.toscrape.com/author/John-Lennon
W.C. Fields,https://quotes.toscrape.com/author/W-C-Fields
Ayn Rand,https://quotes.toscrape.com/author/Ayn-Rand
Jimi Hendrix,https://quotes.toscrape.com/author/Jimi-Hendrix
J.M. Barrie,https://quotes.toscrape.com/author/J-M-Barrie
E.E. Cummings,https://quotes.toscrape.com/author/E-E-Cummings
Khaled Hosseini,https://quotes.toscrape.com/author/Khaled-Hosseini
Harper Lee,https://quotes.toscrape.com/author/Harper-Lee
Madeleine L'Engle,https://quotes.toscrape.com/author/Madeleine-LEngle
